word sentid sentpos wlen surp entropy entred
The 0 0 3 3.901517629623413 10.40725326538086 0
key 0 1 3 12.049586296081543 11.125692367553711 0
that 0 2 4 8.488517761230469 9.56641960144043 1.5592727661132812
the 0 3 3 5.344447135925293 7.8886823654174805 1.6777372360229492
soldiers 0 4 8 10.984698295593262 11.405259132385254 0
accused 0 5 7 11.959659576416016 7.79595422744751 3.609304904937744
was 0 6 3 7.014143943786621 2.452153205871582 5.343801021575928
<unk> 0 7 5 6.444586277008057 7.6671833992004395 0
The 1 0 3 3.901517629623413 10.40725326538086 0
key 1 1 3 12.049586296081543 11.125692367553711 0
that 1 2 4 8.488517761230469 9.56641960144043 1.5592727661132812
the 1 3 3 5.344447135925293 7.8886823654174805 1.6777372360229492
soldiers 1 4 8 10.984698295593262 11.405259132385254 0
accused 1 5 7 11.959659576416016 7.79595422744751 3.609304904937744
were 1 6 4 7.248032093048096 2.452153205871582 5.343801021575928
<unk> 1 7 5 6.419698715209961 8.401453971862793 0
The 2 0 3 3.901517629623413 10.40725326538086 0
report 2 1 6 11.23015308380127 11.125692367553711 0
who 2 2 3 12.594490051269531 8.271953582763672 2.853738784790039
the 2 3 3 8.470171928405762 8.801050186157227 0
cabinet 2 4 7 13.563817977905273 10.355277061462402 0
accused 2 5 7 7.592752456665039 8.26533317565918 2.0899438858032227
has 2 6 3 12.974946022033691 4.300644874572754 3.964688301086426
<unk> 2 7 5 6.3745198249816895 8.38874340057373 0
The 3 0 3 3.901517629623413 10.40725326538086 0
report 3 1 6 11.23015308380127 11.125692367553711 0
who 3 2 3 12.594490051269531 8.271953582763672 2.853738784790039
the 3 3 3 8.470171928405762 8.801050186157227 0
cabinet 3 4 7 13.563817977905273 10.355277061462402 0
accused 3 5 7 7.592752456665039 8.26533317565918 2.0899438858032227
have 3 6 4 10.316638946533203 4.300644874572754 3.964688301086426
<unk> 3 7 5 6.340695381164551 8.521153450012207 0
The 4 0 3 3.901517629623413 10.40725326538086 0
tables 4 1 6 14.983882904052734 11.125692367553711 0
that 4 2 4 4.788032054901123 7.271674156188965 3.854018211364746
the 4 3 3 5.115081310272217 7.799428939819336 0
books 4 4 5 11.77411937713623 10.956503868103027 0
accused 4 5 7 14.902658462524414 6.866219997406006 4.0902838706970215
were 4 6 4 4.533658027648926 3.520261526107788 3.3459584712982178
<unk> 4 7 5 4.836973190307617 9.40873908996582 0
The 5 0 3 3.901517629623413 10.40725326538086 0
tables 5 1 6 14.983882904052734 11.125692367553711 0
that 5 2 4 4.788032054901123 7.271674156188965 3.854018211364746
the 5 3 3 5.115081310272217 7.799428939819336 0
books 5 4 5 11.77411937713623 10.956503868103027 0
accused 5 5 7 14.902658462524414 6.866219997406006 4.0902838706970215
was 5 6 3 6.8732686042785645 3.520261526107788 3.3459584712982178
<unk> 5 7 5 5.019909858703613 9.192304611206055 0
The 6 0 3 3.901517629623413 10.40725326538086 0
teams 6 1 5 12.2150239944458 11.125692367553711 0
who 6 2 3 7.137772560119629 8.185029983520508 2.940662384033203
the 6 3 3 12.087833404541016 7.7347259521484375 0.4503040313720703
teams 6 4 5 7.653855323791504 8.895927429199219 0
accused 6 5 7 11.588234901428223 7.863574504852295 1.0323529243469238
run 6 6 3 19.518526077270508 2.951315402984619 4.912259101867676
<unk> 6 7 5 6.493901252746582 7.489487171173096 0
The 7 0 3 3.901517629623413 10.40725326538086 0
teams 7 1 5 12.2150239944458 11.125692367553711 0
who 7 2 3 7.137772560119629 8.185029983520508 2.940662384033203
the 7 3 3 12.087833404541016 7.7347259521484375 0.4503040313720703
teams 7 4 5 7.653855323791504 8.895927429199219 0
accused 7 5 7 11.588234901428223 7.863574504852295 1.0323529243469238
runs 7 6 4 18.256240844726562 2.951315402984619 4.912259101867676
<unk> 7 7 5 6.706094741821289 6.877496719360352 0
The 8 0 3 3.901517629623413 10.40725326538086 0
soldier 8 1 7 14.684849739074707 11.125692367553711 0
that 8 2 4 8.395660400390625 8.734453201293945 2.3912391662597656
the 8 3 3 5.600226879119873 8.426554679870605 0.30789852142333984
keys 8 4 4 13.54521369934082 10.82015609741211 0
accused 8 5 7 14.141407012939453 7.31054162979126 3.5096144676208496
reads 8 6 5 18.303733825683594 3.4284090995788574 3.8821325302124023
