Sentence,Pattern Order,Chunks
The teams that our new chair write new.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The teams that our new chair writes new.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The door which our missing key runs missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 7, 'NP'), (4, 5, 'VP'), (7, 8, 'VP'), (7, 8, 'RC')]"
The door which our missing key run missing.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 7, 'NP'), (4, 5, 'VP'), (7, 8, 'RC')]"
The tables who our early committee are early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The tables who our early committee is early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The window which our Victorian tables is Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The window which our Victorian tables are Victorian.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The table who our early table reads early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The table who our early table read early.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books that our innocent committee were innocent.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The books that our innocent committee was innocent.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The doors who our guilty soldier are guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The doors who our guilty soldier is guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The book which our guilty team writes guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The book which our guilty team write guilty.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chair which our ornate teams runs ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The chair which our ornate teams run ornate.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chair that our missing chairs speaks missing.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The chair that our missing chairs speak missing.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (4, 5, 'VP'), (6, 8, 'VP'), (6, 8, 'RC'), (7, 8, 'VP')]"
The key that our late staff speaks late.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The key that our late staff speak late.,NP -> VP -> NP -> RC VP -> RC,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinet which our ready chairs was ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The cabinet which our ready chairs were ready.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldiers that our late teams run late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
The soldiers that our late teams runs late.,NP -> RC -> VP -> NP -> RC VP,"[(0, 2, 'NP'), (1, 8, 'NP -> RC VP'), (2, 3, 'NP'), (2, 3, 'RC'), (3, 6, 'NP'), (6, 8, 'VP'), (6, 8, 'RC')]"
